Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2022-09-07,2771.91552734375,2782.7403998797736,2730.0233995480266,2730.0233995480266,1291534
2022-09-08,2789.560791015625,2801.7500518374727,2781.156152794095,2789.868906651418,1346113
2022-09-09,2831.804931640625,2845.754362458832,2788.548847209157,2811.8710957340245,1561185
2022-09-12,2854.071044921875,2877.7014084575,2838.2735652602178,2851.386743228349,1785928
2022-09-13,2842.10205078125,2872.1128147669933,2838.273595799271,2872.1128147669933,1972678
2022-09-14,2746.21728515625,2764.6990710789337,2740.4088527849713,2759.06661274354,5090269
2022-09-15,2732.091552734375,2761.4863014530865,2728.2630976032406,2754.6656437090783,2138023
2022-09-16,2647.9111328125,2723.2905259336594,2640.2544379154365,2707.140883675961,5322221
2022-09-19,2665.60107421875,2677.2181514295744,2629.517594860232,2671.9376422551572,2072220
2022-09-20,2675.7216796875,2710.6169537047986,2666.656763886878,2684.2584586980124,1544295
2022-09-21,2641.310791015625,2676.690161452811,2638.626489065098,2664.8971095952425,2253818
2022-09-22,2646.767333984375,2666.6132921396306,2622.0370763565347,2631.4539421397903,2017983
2022-09-23,2624.456787109375,2660.0561724828663,2621.7724856332366,2643.774604512334,2652374
2022-09-26,2635.32568359375,2663.00452081125,2575.2160671939755,2604.9189274404216,2925489
2022-09-27,2655.611572265625,2662.256254816649,2619.132103912181,2648.5268473584333,2227447
2022-09-28,2671.629638671875,2684.2148957050317,2622.6529999705645,2622.6529999705645,2739767
2022-09-29,2637.878173828125,2689.407181056036,2631.453511913106,2687.7789382550586,2493902
2022-09-30,2644.25927734375,2657.592478379605,2596.3386948281413,2632.2021565114587,2817353
2022-10-03,2627.00927734375,2658.4723112978595,2617.372391035595,2635.8541732184285,1763331
2022-10-04,2720.47412109375,2726.502788091317,2660.496426210475,2666.612972771875,2145875
2022-10-06,2729.97900390625,2749.3849167299395,2721.6181983015977,2737.943814323573,1790816
2022-10-07,2697.3720703125,2732.663560045022,2691.387665003336,2725.9748289925205,1939879
2022-10-10,2744.588623046875,2752.0252969781927,2644.6549464085288,2649.055370612203,3064063
2022-10-11,2701.46435546875,2767.8667110161023,2687.2070246042927,2728.2628948012457,4730645
2022-10-12,2728.923095703125,2736.97578612618,2694.8638550176415,2714.9736648998382,1665247
2022-10-13,2731.16796875,2737.064495590749,2686.3276785877424,2728.9237089077224,2054781
2022-10-14,2727.51513671875,2772.2675415495582,2702.7408317773634,2767.867116880432,2245977
2022-10-17,2745.69140625,2760.3826551550005,2710.132155751458,2711.190947627584,1517005
2022-10-18,2774.765380859375,2784.1626709744187,2760.515312292103,2779.4419453117853,1793722
2022-10-19,2754.603759765625,2787.3834440777728,2745.91240201647,2787.3834440777728,1194289
2022-10-20,2785.88330078125,2788.2656365638254,2739.735696686924,2739.735696686924,1587601
2022-10-21,2768.32421875,2788.6185576972553,2759.1477342638077,2786.324544285981,1021913
2022-10-24,2789.765625,2804.1481776168825,2783.853839012355,2797.177599655719,260949
2022-10-25,2790.118408203125,2809.6626504347373,2780.456366973794,2806.3537912248353,2069643
2022-10-27,2785.97119140625,2800.6184946542526,2765.632908701152,2788.8830306568198,2438421
2022-10-28,2791.13330078125,2804.589329497575,2775.0301844485994,2779.4419971424763,1355739
2022-10-31,2817.515625,2822.6775315995496,2803.9714903854647,2822.6775315995496,1919414
2022-11-01,2876.2373046875,2878.7962854625307,2826.604408773105,2836.3545585212883,2991060
2022-11-02,2860.354736328125,2885.325640459638,2843.0163977761526,2885.325640459638,1405955
2022-11-03,2829.515869140625,2848.3102329584,2819.1481100504548,2848.3102329584,1422652
2022-11-04,2838.912841796875,2841.251231526313,2793.6917665316887,2838.559982987403,1464013
2022-11-07,2853.295654296875,2861.325239443402,2819.2365900807545,2849.148593513063,1474498
2022-11-09,2837.72216796875,2867.501904513535,2825.0160177906464,2867.501904513535,1162267
2022-11-10,2828.544921875,2845.618720365395,2797.0887887002486,2797.0887887002486,1573092
2022-11-11,2925.869873046875,2948.502600302408,2872.1340832542387,2884.972500644262,3265394
2022-11-14,2943.12060546875,2955.0325011886807,2919.7379953518493,2932.973435040661,1342074
2022-11-15,2940.561767578125,2947.04700361366,2904.737758867368,2930.3262749691767,1400708
2022-11-16,2960.63525390625,2971.7087315184385,2930.723034354456,2946.120217692935,1748235
2022-11-17,2955.031982421875,2964.7379698230816,2927.4581545775386,2947.090720002706,1417986
2022-11-18,2950.135009765625,2967.164649978448,2930.3260137026023,2955.9145275229503,1164540
2022-11-21,2897.237060546875,2941.531611779645,2887.9722549626686,2931.649195573928,1304194
2022-11-22,2924.9873046875,2928.5167544201013,2872.31031051253,2894.148780733,1149739
2022-11-23,2919.11962890625,2938.266850281943,2903.8547159993614,2938.266850281943,1150011
2022-11-24,2982.517333984375,2993.811616370863,2919.1197215276015,2926.134459885213,1296591
2022-11-25,2990.900146484375,3002.988685816619,2954.149832260228,2985.032521665577,1588981
2022-11-28,2995.841552734375,3015.032938868525,2969.635427166336,2970.032447243622,2195437
2022-11-29,2997.6943359375,3025.6210229911208,2985.0323478503824,2985.0323478503824,1576028
2022-11-30,2991.914794921875,3013.179601826006,2977.9734243991,2985.0323243680464,3410702
2022-12-01,3066.783203125,3070.6215662510285,3017.679815108769,3022.0916277039573,2180856
2022-12-02,3034.57763671875,3060.827927417291,3011.5039379536443,3051.2985824581538,2411749
2022-12-05,3022.8857421875,3034.577045852439,3006.2091763355406,3029.150602395043,1475065
2022-12-06,2987.10595703125,3007.047220155349,2971.7968815829117,3000.07664261676,1166999
2022-12-07,2982.914794921875,2994.473614579414,2959.4438659290595,2972.0616929376706,1167505
